reviewed_id,bought_with_id,age,statecode
cebc3d8ae6e3770a833140a2cdd066cf,6b4338d361e5ba6ad378c8c0ccbbbb19,26,OR
cebc3d8ae6e3770a833140a2cdd066cf,ec9ecf90f97f5450f58eaed4f38dabc5,26,OR
cebc3d8ae6e3770a833140a2cdd066cf,ce435829a2651e04e60b3e9418331d24,26,OR
cebc3d8ae6e3770a833140a2cdd066cf,cd6b6baa5e73dd9e9498aa0e286c4d02,26,OR
cebc3d8ae6e3770a833140a2cdd066cf,d79ab29a4fc7620ee2cad35ef10c5fa9,26,OR
d59a39252407b0e5d34b500f232cc4c0,c1c35bcb5aa8398a9df64286a04e1c7f,60,IA
d59a39252407b0e5d34b500f232cc4c0,6fff6f8bf7e1d0aef6049d6e64e33c60,60,IA
d59a39252407b0e5d34b500f232cc4c0,db0e174de0446ac2d984302f1ff220a9,60,IA
d59a39252407b0e5d34b500f232cc4c0,66ba584f6f230833c5fb017d28fbf5ae,60,IA
d59a39252407b0e5d34b500f232cc4c0,e41675ebdd8bb0df27ddf10aa73ef416,60,IA
d59a39252407b0e5d34b500f232cc4c0,c1c35bcb5aa8398a9df64286a04e1c7f,68,OH
d59a39252407b0e5d34b500f232cc4c0,6fff6f8bf7e1d0aef6049d6e64e33c60,68,OH
d59a39252407b0e5d34b500f232cc4c0,db0e174de0446ac2d984302f1ff220a9,68,OH
d59a39252407b0e5d34b500f232cc4c0,66ba584f6f230833c5fb017d28fbf5ae,68,OH
d59a39252407b0e5d34b500f232cc4c0,e41675ebdd8bb0df27ddf10aa73ef416,68,OH
d59a39252407b0e5d34b500f232cc4c0,c1c35bcb5aa8398a9df64286a04e1c7f,19,OH
d59a39252407b0e5d34b500f232cc4c0,6fff6f8bf7e1d0aef6049d6e64e33c60,19,OH
d59a39252407b0e5d34b500f232cc4c0,db0e174de0446ac2d984302f1ff220a9,19,OH
d59a39252407b0e5d34b500f232cc4c0,66ba584f6f230833c5fb017d28fbf5ae,19,OH
d59a39252407b0e5d34b500f232cc4c0,e41675ebdd8bb0df27ddf10aa73ef416,19,OH
d59a39252407b0e5d34b500f232cc4c0,c1c35bcb5aa8398a9df64286a04e1c7f,47,NC
d59a39252407b0e5d34b500f232cc4c0,6fff6f8bf7e1d0aef6049d6e64e33c60,47,NC
d59a39252407b0e5d34b500f232cc4c0,db0e174de0446ac2d984302f1ff220a9,47,NC
d59a39252407b0e5d34b500f232cc4c0,66ba584f6f230833c5fb017d28fbf5ae,47,NC
d59a39252407b0e5d34b500f232cc4c0,e41675ebdd8bb0df27ddf10aa73ef416,47,NC
d59a39252407b0e5d34b500f232cc4c0,c1c35bcb5aa8398a9df64286a04e1c7f,19,TN
d59a39252407b0e5d34b500f232cc4c0,6fff6f8bf7e1d0aef6049d6e64e33c60,19,TN
d59a39252407b0e5d34b500f232cc4c0,db0e174de0446ac2d984302f1ff220a9,19,TN
d59a39252407b0e5d34b500f232cc4c0,66ba584f6f230833c5fb017d28fbf5ae,19,TN
d59a39252407b0e5d34b500f232cc4c0,e41675ebdd8bb0df27ddf10aa73ef416,19,TN
d59a39252407b0e5d34b500f232cc4c0,c1c35bcb5aa8398a9df64286a04e1c7f,66,VA
d59a39252407b0e5d34b500f232cc4c0,6fff6f8bf7e1d0aef6049d6e64e33c60,66,VA
d59a39252407b0e5d34b500f232cc4c0,db0e174de0446ac2d984302f1ff220a9,66,VA
d59a39252407b0e5d34b500f232cc4c0,66ba584f6f230833c5fb017d28fbf5ae,66,VA
d59a39252407b0e5d34b500f232cc4c0,e41675ebdd8bb0df27ddf10aa73ef416,66,VA
d59a39252407b0e5d34b500f232cc4c0,c1c35bcb5aa8398a9df64286a04e1c7f,59,NV
d59a39252407b0e5d34b500f232cc4c0,6fff6f8bf7e1d0aef6049d6e64e33c60,59,NV
d59a39252407b0e5d34b500f232cc4c0,db0e174de0446ac2d984302f1ff220a9,59,NV
d59a39252407b0e5d34b500f232cc4c0,66ba584f6f230833c5fb017d28fbf5ae,59,NV
d59a39252407b0e5d34b500f232cc4c0,e41675ebdd8bb0df27ddf10aa73ef416,59,NV
d59a39252407b0e5d34b500f232cc4c0,c1c35bcb5aa8398a9df64286a04e1c7f,46,AS
d59a39252407b0e5d34b500f232cc4c0,6fff6f8bf7e1d0aef6049d6e64e33c60,46,AS
d59a39252407b0e5d34b500f232cc4c0,db0e174de0446ac2d984302f1ff220a9,46,AS
d59a39252407b0e5d34b500f232cc4c0,66ba584f6f230833c5fb017d28fbf5ae,46,AS
d59a39252407b0e5d34b500f232cc4c0,e41675ebdd8bb0df27ddf10aa73ef416,46,AS
c81007878c3f54fc7c507b81e8ec1c6d,da5b571f074bc97f39a340cb0d225841,23,ME
c81007878c3f54fc7c507b81e8ec1c6d,84ccb54b66519503e1435aae205fc4b6,23,ME
c81007878c3f54fc7c507b81e8ec1c6d,92ce6ab9d52f1e4f664300d093e414c6,23,ME
c81007878c3f54fc7c507b81e8ec1c6d,9948602613bb72488c04aecab3e1091c,23,ME
c81007878c3f54fc7c507b81e8ec1c6d,c54d232e144c480355c284895665c0b5,23,ME
c81007878c3f54fc7c507b81e8ec1c6d,da5b571f074bc97f39a340cb0d225841,18,MN
c81007878c3f54fc7c507b81e8ec1c6d,84ccb54b66519503e1435aae205fc4b6,18,MN
c81007878c3f54fc7c507b81e8ec1c6d,92ce6ab9d52f1e4f664300d093e414c6,18,MN
c81007878c3f54fc7c507b81e8ec1c6d,9948602613bb72488c04aecab3e1091c,18,MN
c81007878c3f54fc7c507b81e8ec1c6d,c54d232e144c480355c284895665c0b5,18,MN
2db04784d15e9997e49f7edb7e005e40,4543f279a81336bc920b4bc37ba3c256,55,CA
2db04784d15e9997e49f7edb7e005e40,52d3ef45a32d558bcdeee254b0a09a48,55,CA
2db04784d15e9997e49f7edb7e005e40,18be0366a99f35fa9fe42aeb8399a956,55,CA
2db04784d15e9997e49f7edb7e005e40,58559aa5f4f5c15b39090fc59c4736c1,55,CA
2db04784d15e9997e49f7edb7e005e40,f83bab1eb0740e374942c52e2f59ec02,55,CA
2db04784d15e9997e49f7edb7e005e40,4543f279a81336bc920b4bc37ba3c256,45,SD
2db04784d15e9997e49f7edb7e005e40,52d3ef45a32d558bcdeee254b0a09a48,45,SD
2db04784d15e9997e49f7edb7e005e40,18be0366a99f35fa9fe42aeb8399a956,45,SD
2db04784d15e9997e49f7edb7e005e40,58559aa5f4f5c15b39090fc59c4736c1,45,SD
2db04784d15e9997e49f7edb7e005e40,f83bab1eb0740e374942c52e2f59ec02,45,SD
2db04784d15e9997e49f7edb7e005e40,4543f279a81336bc920b4bc37ba3c256,38,WY
2db04784d15e9997e49f7edb7e005e40,52d3ef45a32d558bcdeee254b0a09a48,38,WY
2db04784d15e9997e49f7edb7e005e40,18be0366a99f35fa9fe42aeb8399a956,38,WY
2db04784d15e9997e49f7edb7e005e40,58559aa5f4f5c15b39090fc59c4736c1,38,WY
2db04784d15e9997e49f7edb7e005e40,f83bab1eb0740e374942c52e2f59ec02,38,WY
2db04784d15e9997e49f7edb7e005e40,4543f279a81336bc920b4bc37ba3c256,24,KS
